id,name,description,image
25,레몬 주스,레몬 향과 맛이 첨가된 주스입니다.,https://www.costco.co.kr/medias/sys_master/images/h99/h30/226282304962590.jpg
26,사과 주스,사과 향과 맛이 첨가된 주스입니다.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT1Hp5-GZRnkOQjC0oajCF9XPBqYQ1Vw60zvw&s
27,체리 리큐르,체리로 만든 리큐르,https://i.namu.wiki/i/OTIn4kE-2YBS_Es9OoT_2mPy0w8u4e-3CBifHcJCKM74Yp5SzvVez5DDy4l82ytMhbuh2ATWMHFNnyRA76C717cblP7VNk738Iivlxb7qNmorcQ3zgjPRK2BRC7QPgnuoRda654gM44Pfnom__BXMg.webp
28,버번 위스키,미국 스타일의 위스키,https://i.namu.wiki/i/zMyoGREcabSXcfLrA8dc8LrzAe9yqEMRswyYSTev_6LsjOQWZcO1CxdZsquEAoESaQzptEmHKxYXYdjJFBof56VxDewUvYxLD1P26nbe7_B6PBf0gMw0iTkZxKEHgF-P_M9pGL8JyPlCHOoks7B6-Q.webp
29,라이 위스키,호밀을 이용해 만든 미국 스타일의 위스키,https://goldcompany.co.kr/web/product/big/202211/d4ddbf9f1134504b4871ffa1f182d88c.jpg
30,짐빔,미국의 대표적인 위스키,https://i.namu.wiki/i/zMyoGREcabSXcfLrA8dc8LrzAe9yqEMRswyYSTev_6LsjOQWZcO1CxdZsquEAoESaQzptEmHKxYXYdjJFBof56VxDewUvYxLD1P26nbe7_B6PBf0gMw0iTkZxKEHgF-P_M9pGL8JyPlCHOoks7B6-Q.webp
31,예거마이스터,허브향과 단 맛이 특징인 독일의 리큐르,https://i.namu.wiki/i/6mHE80o9ANnzmTXkvJRQsnE-XevRjWSgLPp0KHbXwqY-6aaUBTYgBzJTYF4Ehy-oE9D4Rz2lflXpHxrmcbM8xACj_CR_ibGz7tNOWgENf7THZAHC-ADiz4AsZV298EZg9kaFmv7nC4pv2GxUFqKY5g.webp
32,앙고스투라 비터스,허브향을 첨가할 때 쓰이는 리큐르,https://i.namu.wiki/i/5tCNLsjyraRJOHZ1-6DBJMoC4s1Xl1suACG0uJhROFok-aXxVwXIjtVDCp2As4N4X1qsq9O2iMokLoQn6cqCwMzDdAA_EJSqaaW1TCOZeGABiip49nUr8VvPKw4f0uoFDBu-6bswbKSaWmxXvAmV6g.webp
33,말리부,코코넛 특유의 맛을 담은 리큐르,https://i.namu.wiki/i/76osj_6UPJE1O3g793l-FIspfS1vToiz4r50MGitBejsozl05bU-e5sBZ1n4Q-BRgOTi5m_ThefUCnxOp9gWa6n20UAc3LA1Lp6tOYGHIksmDXbYgLZmIN05Ea3-zBZ1AK7SaIcsz06PXuJdC1Qevw.webp
34,블루 큐라소,오렌지 리큐르의 한 종류로 선명한 푸른색이 납니다,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/fbbd4dfc-09c6-4771-8262-b0bbea8e730d.webp
